Place ID,Name,Address,Phone Number,Opening Hours,Website,Rating,Reviews Count,Types,Latitude,Longitude,Business Status,Query Used,Location Used
PID-297FF-YTCGOS,Store 016 - Toko Kaca Mobil Jakarta & Tangerang,"Jl. [REDACTED], RT.005/RW.001, Batuceper, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",0838 **** 00,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 8:00 AM – 5:00 PM, Sunday: 8:00 AM – 5:00 PM",https://kacamobiljakarta.com/,5,3,"CAR REPAIR, ESTABLISHMENT, POINT OF INTEREST",-6.1632766,106.6604749,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-2BF0E-XYGJDU,Store 017 - Toko Kaca Dan Aluminium Karya Jaya Aluminium,"Jl. [REDACTED], RT.002/RW.003, Poris Gaga, Kec. Batuceper, Kota Tangerang, Banten 15148, Indonesia",0812 **** 14,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 8:00 AM – 5:00 PM, Sunday: Closed",Not available,5,5,"ESTABLISHMENT, POINT OF INTEREST",-6.1721763,106.6792445,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-2E61D-F08D1G,Store 018 - Tempered Glass Second,"Jl. [REDACTED], RT.003/RW.001, Batujaya, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",Not  **** le,"Monday: 7:00 AM – 12:00 AM, Tuesday: 7:00 AM – 12:00 AM, Wednesday: 7:00 AM – 12:00 AM, Thursday: 7:00 AM – 12:00 AM, Friday: 7:00 AM – 12:00 AM, Saturday: 7:00 AM – 12:00 AM, Sunday: 7:00 AM – 12:00 AM",Not available,Not available,0,"ESTABLISHMENT, POINT OF INTEREST, STORE",-6.1587986,106.6595933,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-30D2C-XMLF-C,Store 019 - Jaya Mandiri Glass,"Jl. [REDACTED], RT.004/RW.003, Poris Gaga Baru, Kec. Batuceper, Kota Tangerang, Banten 15141, Indonesia",0813 **** 27,"Monday: 9:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: Closed",Not available,3.3,3,"ESTABLISHMENT, POINT OF INTEREST, STORE",-6.1719973,106.6699012,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-3343B-CXQAXG,Store 020 - Barokah Kaca,"Jl. [REDACTED], RT.003/RW.001, Batujaya, Kec. Batuceper, Kota Tangerang, Banten 15121, Indonesia",0852 **** 23,"Monday: 8:00 AM – 7:00 AM, Tuesday: 8:00 AM – 7:00 AM, Wednesday: 8:00 AM – 7:00 AM, Thursday: 8:00 AM – 7:00 AM, Friday: 8:00 AM – 7:00 AM, Saturday: 8:00 AM – 7:00 AM, Sunday: 8:00 AM – 7:00 AM",Not available,Not available,0,"ESTABLISHMENT, POINT OF INTEREST",-6.1601487,106.6565937,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-35B4A-ZIEOFW,Store 021 - Pusat Kaca Mobil Tangerang,"Jl. [REDACTED], No No.Km 22, RT.003/RW.001, Batuceper, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",0812 **** 11,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 8:00 AM – 5:00 PM, Sunday: 8:00 AM – 5:00 PM",http://www.pusatkacamobil.com/,5,33,"CAR REPAIR, ESTABLISHMENT, POINT OF INTEREST",-6.1632844,106.660488,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-38259-2_ZWWQ,Store 022 - Gudang Kaca Mobil Tangerang,"Jl. [REDACTED], RT.005/RW.001, Batuceper, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",0812 **** 97,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 8:00 AM – 5:00 PM, Sunday: Closed",Not available,5,14,"CAR REPAIR, ESTABLISHMENT, POINT OF INTEREST",-6.1632693,106.6605202,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-3A968-8U9U50,Store 023 - Jmm Batuceper,"Jl. [REDACTED], RT.005/RW.003, Batuceper, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",0822 **** 17,"Monday: 8:00 AM – 9:00 PM, Tuesday: 8:00 AM – 9:00 PM, Wednesday: 8:00 AM – 9:00 PM, Thursday: 8:00 AM – 9:00 PM, Friday: 8:00 AM – 9:00 PM, Saturday: 8:00 AM – 9:00 PM, Sunday: 8:00 AM – 9:00 PM",Not available,4.9,32,"CAR REPAIR, ESTABLISHMENT, POINT OF INTEREST",-6.1631095,106.6690605,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-3D077-NMIIWG,Store 024 - Toko Kaca Varia Seni,"Jl. [REDACTED], Poris Gaga, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",0812 **** 18,"Monday: 8:00 AM – 4:30 PM, Tuesday: 8:00 AM – 4:30 PM, Wednesday: 8:00 AM – 4:30 PM, Thursday: 8:00 AM – 4:30 PM, Friday: 8:00 AM – 4:30 PM, Saturday: 8:00 AM – 4:00 PM, Sunday: Closed",https://variaseni.gmaps.id/?m=1,4.7,3,"ESTABLISHMENT, POINT OF INTEREST",-6.1722862,106.6792694,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-3F786-T0O2XE,Store 025 - Pt. Berkat Gemilang Indonesia - Tangerang | Bgi Kaca Mobil,"Jl. [REDACTED], RT.005/RW.004, Batuceper, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",(021 **** 69,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: Closed, Sunday: Closed",http://www.my-berkatgemilang.com/,4.7,14,"CAR REPAIR, ESTABLISHMENT, POINT OF INTEREST",-6.1573738,106.6749139,OPERATIONAL,Toko Kaca,"Kec. Batuceper, Kota Tangerang"
PID-41E95-KHMZGW,Store 026 - Kusen Mekar Agung,"Jl. [REDACTED], RT.003/RW.03, Poris Jaya, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",0812 **** 52,"Monday: 7:00 AM – 6:00 PM, Tuesday: 7:00 AM – 6:00 PM, Wednesday: 7:00 AM – 6:00 PM, Thursday: 7:00 AM – 6:00 PM, Friday: 7:00 AM – 6:00 PM, Saturday: 7:00 AM – 6:00 PM, Sunday: 7:00 AM – 6:00 PM",http://kusenmekaragung.com/,5,2,"ESTABLISHMENT, POINT OF INTEREST, STORE",-6.1745583,106.6783924,OPERATIONAL,Kusen Aluminium,"Kec. Batuceper, Kota Tangerang"
PID-445A4-G1OMWA,Store 027 - Jasa Pembuatan Kusen Aluminium,"Jl. [REDACTED], RT.002/RW.003, Poris Gaga, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",0857 **** 08,"Monday: 9:00 AM – 5:00 PM, Tuesday: 9:00 AM – 5:00 PM, Wednesday: 9:00 AM – 5:00 PM, Thursday: 9:00 AM – 5:00 PM, Friday: 9:00 AM – 5:00 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: Closed",Not available,Not available,0,"ESTABLISHMENT, GENERAL CONTRACTOR, POINT OF INTEREST",-6.1730757,106.6801848,OPERATIONAL,Kusen Aluminium,"Kec. Batuceper, Kota Tangerang"
PID-46CB3-8DQBQ0,Store 028 - Cv Fajar Internusa Abadi,"Jl. [REDACTED], Blk. G1 No.6, RT.001/RW.007, Poris Gaga, Kec. Batuceper, Kota Tangerang, Banten 15122, Indonesia",0852 **** 27,"Monday: 9:30 AM – 4:00 PM, Tuesday: 9:30 AM – 4:00 PM, Wednesday: 9:30 AM – 4:00 PM, Thursday: 9:30 AM – 4:00 PM, Friday: 9:30 AM – 4:00 PM, Saturday: 9:30 AM – 12:00 PM, Sunday: Closed",https://aksesoriskaca.com/,5,1,"ESTABLISHMENT, POINT OF INTEREST",-6.1656578,106.6857926,OPERATIONAL,Kusen Aluminium,"Kec. Batuceper, Kota Tangerang"
PID-493C2-UW-R_8,Store 029 - Teguhjaya Aluminium Tangerang,"Jl. [REDACTED], RT.004/RW.006, Batujaya, Kec. Batuceper, Kota Tangerang, Banten 15121, Indonesia",0853 **** 44,"Monday: 8:00 AM – 4:30 PM, Tuesday: 8:00 AM – 4:30 PM, Wednesday: 8:00 AM – 4:30 PM, Thursday: 8:00 AM – 4:30 PM, Friday: 8:00 AM – 4:30 PM, Saturday: 8:00 AM – 4:30 PM, Sunday: Closed",Not available,5,4,"ESTABLISHMENT, POINT OF INTEREST",-6.1558164,106.6666956,OPERATIONAL,Toko Kaca dan Aluminium,"Kec. Batuceper, Kota Tangerang"
